SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,PredictedChurnProb,PredictedChurn,PredictedChurnLabel,RevenueAtRisk,ActualChurn,CorrectPrediction,Contract,InternetService,PaymentMethod,ChurnRiskBucket,ChurnRiskOrder
0,0,0,66,1,1,0,0,1,0,1,0,1,92.15,6056.9,0.3017133194901725,0,No,27.8,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,3,1,0,0,0,0,0,1,0,0,79.25,267.6,0.7961342268197084,1,Yes,63.09,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
1,1,0,24,1,1,1,0,0,0,0,0,1,78.85,1772.25,0.6236620997984992,1,Yes,49.18,1,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,1,10,1,0,0,0,1,0,1,0,0,60.2,563.5,0.31644180251120574,0,No,19.05,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
0,1,1,63,1,0,1,1,1,1,1,0,0,75.55,4707.85,0.035268518461799805,0,No,2.66,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,42,1,1,1,0,1,1,1,1,0,84.35,3571.6,0.028865064218563722,0,No,2.43,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,29,1,0,0,0,0,0,1,0,1,78.9,2384.15,0.6202372087274957,1,Yes,48.94,1,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
1,0,0,46,1,0,0,1,1,0,1,0,1,91.3,4126.35,0.273490677398282,0,No,24.97,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,20,1,0,0,0,0,0,0,0,1,19.7,419.4,0.007185177344849494,0,No,0.14,0,Correct,Two Year,No,Mailed Check,Low Risk,0
0,0,1,29,0,0,1,1,1,1,0,0,1,45.0,1242.45,0.14747221725935009,0,No,6.64,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
1,0,0,15,1,1,0,1,0,0,0,1,0,89.85,1424.95,0.6482589271841248,1,Yes,58.25,1,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,1,8,1,0,0,0,0,0,0,0,0,19.95,170.9,0.17775123904978013,0,No,3.55,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,0.3780476590929449,0,No,7.43,0,Correct,One Year,No,Credit Card (Auto),Medium Risk,1
0,0,0,50,1,1,1,0,1,1,1,1,1,82.5,4179.1,0.1465270972063465,0,No,12.09,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,3,1,0,0,0,0,1,1,1,1,69.35,191.35,0.5596537612208703,0,No,38.81,1,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,32,1,0,0,0,0,0,0,0,1,20.05,614.45,0.014595341803311035,0,No,0.29,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,1,1,72,1,0,1,1,1,1,1,1,1,108.3,7679.65,0.04359854343979404,0,No,4.72,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,44,1,0,0,0,0,0,1,1,1,90.65,3974.15,0.4382089423924114,0,No,39.72,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,0,0,17,1,0,0,0,0,0,0,0,1,19.65,351.55,0.08213321896658109,0,No,1.61,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,1,0,17,1,1,1,0,0,0,0,0,0,78.9,1348.95,0.5710198363152004,0,No,45.05,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
1,0,0,30,1,1,1,1,1,0,0,0,0,91.7,2758.15,0.39583968473091397,0,No,36.3,1,Wrong,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,0,0,5,1,0,0,1,0,1,0,1,1,89.35,461.7,0.7662823545445412,1,Yes,68.47,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
1,0,0,59,1,1,1,1,1,0,0,0,1,89.75,5496.9,0.29497115909532945,0,No,26.47,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
1,1,0,59,0,0,1,0,1,1,1,1,1,64.05,3886.85,0.024155481495761157,0,No,1.55,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,8,1,0,0,1,0,0,1,0,1,83.55,680.05,0.7836668959599871,1,Yes,65.48,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,64,1,1,1,1,1,1,1,0,0,81.25,5567.55,0.12768575704847038,0,No,10.37,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
0,1,0,56,1,1,0,0,1,1,1,1,0,103.2,5744.35,0.136312983498849,0,No,14.07,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,9,1,1,0,0,0,0,0,0,1,75.85,724.65,0.805753875295315,1,Yes,61.12,0,Wrong,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,44,1,0,1,1,1,0,1,1,1,106.05,4510.8,0.5263013385656649,0,No,55.81,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,23,1,0,0,0,0,0,0,0,0,20.45,481.1,0.011206414461330685,0,No,0.23,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,1,1,27,1,0,0,0,0,0,0,0,1,20.55,583.3,0.017337856030896947,0,No,0.36,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,1,0,54,1,1,0,1,1,1,1,1,0,110.35,5893.15,0.44942558196041127,0,No,49.59,1,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
1,0,0,45,1,1,0,0,0,0,1,1,1,93.9,4200.25,0.6863282686539124,1,Yes,64.45,0,Wrong,One Year,Fiber optic,Credit Card (Auto),High Risk,2
0,0,0,2,1,1,0,0,0,0,0,0,0,74.9,147.15,0.8089453725769024,1,Yes,60.59,1,Correct,One Year,Fiber optic,Credit Card (Auto),High Risk,2
0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0.2650714476297734,0,No,26.79,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,1,0,0,0,0,0,0,0,1,1,35.55,35.55,0.9014284333906013,1,Yes,32.05,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,1,66,1,1,1,1,1,0,0,0,1,67.45,4508.65,0.1224313848405621,0,No,8.26,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,51,1,1,0,0,1,0,1,1,1,98.85,4947.55,0.5823353311853753,1,Yes,57.56,0,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,0,46,0,0,1,1,0,0,1,0,0,45.55,2062.15,0.3724370828607873,0,No,16.96,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,0,3,1,1,0,0,0,0,0,0,1,75.85,256.6,0.8926146183196364,1,Yes,67.7,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,66,1,1,0,0,0,0,0,0,0,25.45,1699.15,0.11775184242994491,0,No,3.0,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
1,0,0,65,1,1,0,1,1,0,1,0,1,95.45,6223.3,0.49016253350915073,0,No,46.79,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,1,1,0,0,0,0,0,1,0,1,80.05,80.05,0.8541216223413977,1,Yes,68.37,1,Correct,One Year,Fiber optic,Mailed Check,High Risk,2
0,1,1,6,1,1,0,1,1,0,1,0,1,94.05,518.75,0.7608727263931532,1,Yes,71.56,0,Wrong,One Year,Fiber optic,Mailed Check,High Risk,2
0,1,0,59,1,0,0,0,0,0,0,0,0,20.35,1267.0,0.045489830251221886,0,No,0.93,0,Correct,One Year,No,Mailed Check,Low Risk,0
1,0,0,15,1,1,0,0,0,0,0,0,0,75.65,1146.65,0.6723588004379408,1,Yes,50.86,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,1,67,1,1,1,1,1,0,1,1,1,111.3,7482.1,0.18162735394148155,0,No,20.22,1,Wrong,One Year,Fiber optic,Electronic Check,Low Risk,0
0,0,0,1,1,0,0,1,0,0,0,0,0,49.95,49.95,0.6957002024572292,1,Yes,34.75,0,Wrong,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,1,10,1,0,0,1,1,0,0,0,1,55.55,551.3,0.32742124807220757,0,No,18.19,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
0,1,1,3,1,0,0,0,0,0,0,1,1,80.3,250.05,0.791080206569716,1,Yes,63.52,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,3,1,0,0,0,0,1,0,0,1,50.25,152.3,0.6091554552357179,1,Yes,30.61,0,Wrong,One Year,Fiber optic,Mailed Check,Medium Risk,1
0,1,0,71,1,0,0,0,0,0,0,0,0,19.85,1379.6,0.003521803689935956,0,No,0.07,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,0,0,4,1,0,0,0,0,0,0,0,1,70.05,266.9,0.679782996764594,1,Yes,47.62,1,Correct,One Year,Fiber optic,Credit Card (Auto),High Risk,2
0,0,0,11,1,0,0,0,1,0,0,1,0,84.8,888.75,0.7066779549375691,1,Yes,59.93,0,Wrong,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,1,60,1,1,0,1,0,1,1,1,1,103.75,5969.95,0.3881705099155502,0,No,40.27,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,62,1,0,1,0,1,0,0,0,0,54.75,3425.35,0.10027637062186777,0,No,5.49,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,12,0,0,0,1,1,1,1,1,0,60.65,743.3,0.1800818088273565,0,No,10.92,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
0,1,0,67,1,1,1,1,1,0,0,0,0,65.65,4322.85,0.030683058549172387,0,No,2.01,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
0,1,1,48,1,1,1,1,0,0,1,1,1,105.25,4997.5,0.4075520685045588,0,No,42.89,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,29,1,0,0,0,0,0,1,1,1,87.8,2621.75,0.6028161222762707,1,Yes,52.93,0,Wrong,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,0,0,65,1,1,1,0,1,1,1,1,1,110.0,7138.65,0.40974896166386715,0,No,45.07,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,68,1,1,1,1,1,1,1,1,0,88.0,6161.9,0.014770411235977214,0,No,1.3,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0.053182585991253875,0,No,5.31,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,65,1,1,1,1,1,1,1,1,1,90.45,5957.9,0.008559102990504573,0,No,0.77,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
0,0,0,24,1,1,1,0,0,0,0,0,1,55.65,1400.55,0.2266589356418253,0,No,12.61,1,Wrong,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,17,1,1,0,0,0,0,1,1,0,92.6,1579.7,0.7566554375411595,1,Yes,70.07,0,Wrong,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,66,1,1,1,1,1,1,1,1,1,90.05,5965.95,0.024450169684788255,0,No,2.2,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,63,0,0,0,1,1,1,0,0,0,39.35,2395.05,0.04581225137429835,0,No,1.8,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,57,1,0,0,0,0,0,0,0,0,18.8,1094.35,0.015194519549986227,0,No,0.29,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,1,0,15,1,0,0,0,1,0,1,0,1,84.3,1308.4,0.735715687874825,1,Yes,62.02,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
1,1,0,63,1,1,0,1,1,0,1,1,1,103.5,6479.4,0.6591813520632438,1,Yes,68.23,0,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,1,72,1,0,1,1,0,1,1,1,0,105.5,7611.55,0.057061126258362516,0,No,6.02,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,28,1,0,0,1,0,1,0,0,0,54.65,1517.5,0.15104737348079428,0,No,8.25,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,8,1,0,0,0,0,0,0,0,1,19.55,161.15,0.17934958931232628,0,No,3.51,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,1,0,71,1,1,1,1,0,1,1,0,0,73.5,5357.75,0.038999116814271165,0,No,2.87,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,1,5,1,0,0,0,0,1,0,0,1,48.65,235.2,0.4561374648737694,0,No,22.19,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,44,1,1,0,0,0,0,0,0,0,24.85,1013.6,0.06732961015560537,0,No,1.67,0,Correct,One Year,No,Electronic Check,Low Risk,0
0,0,0,30,1,1,0,0,1,0,1,1,0,100.45,3096.9,0.5683587738565403,0,No,57.09,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,1,1,0,0,0,0,0,0,0,1,70.6,70.6,0.8984422223648272,1,Yes,63.43,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,0,66,1,1,1,1,1,0,0,0,0,66.9,4370.25,0.03973523346810526,0,No,2.66,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,72,0,0,0,1,0,1,1,1,0,53.65,3784.0,0.028360088345535665,0,No,1.52,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,6,1,0,0,0,1,0,0,1,0,83.9,497.55,0.8043686482800942,1,Yes,67.49,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,1,41,1,0,0,0,0,0,0,0,1,20.25,865.0,0.022332973788105455,0,No,0.45,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,1,0,53,0,0,0,1,1,1,1,1,1,60.45,3184.25,0.14865122823163554,0,No,8.99,1,Wrong,One Year,Fiber optic,Electronic Check,Low Risk,0
0,1,0,70,1,1,1,1,1,1,1,0,0,79.15,5536.5,0.025544637435896207,0,No,2.02,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
0,0,0,44,1,0,1,0,0,1,1,0,0,65.4,2774.55,0.10804080897247341,0,No,7.07,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
0,0,1,1,1,0,0,0,0,0,0,0,1,69.65,69.65,0.9318827200011772,1,Yes,64.91,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,0,34,1,1,0,0,1,0,1,1,1,100.05,3480.0,0.7616483798166268,1,Yes,76.2,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,0,72,1,1,1,1,1,0,1,1,1,109.65,7880.25,0.0678188862201764,0,No,7.44,0,Correct,Two Year,Fiber optic,Electronic Check,Low Risk,0
0,0,0,1,1,1,0,0,1,1,0,0,0,62.05,62.05,0.6129994435842375,1,Yes,38.04,1,Correct,One Year,Fiber optic,Mailed Check,Medium Risk,1
0,1,1,67,1,1,1,1,1,1,0,0,1,69.35,4653.25,0.12256794893156686,0,No,8.5,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,1,1,1,0,0,0,0,0,0,0,50.75,50.75,0.7835650207668876,1,Yes,39.77,0,Wrong,One Year,Fiber optic,Mailed Check,High Risk,2
0,0,0,15,0,0,1,1,1,1,0,0,0,45.9,693.45,0.17721882352368332,0,No,8.13,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
0,1,1,25,1,1,0,0,0,0,0,0,0,25.5,630.6,0.04428486690296843,0,No,1.13,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,0,0,35,1,1,0,0,0,0,0,0,0,26.2,954.9,0.15950702670989245,0,No,4.18,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,0,0,71,1,1,1,1,1,1,1,1,1,118.65,8477.6,0.10671933834478244,0,No,12.66,0,Correct,Two Year,Fiber optic,Electronic Check,Low Risk,0
0,0,1,25,1,0,0,1,0,0,1,1,1,95.9,2448.75,0.6635275112626183,1,Yes,63.63,1,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,0,47,1,0,0,0,0,0,0,0,0,19.9,942.95,0.048587243580687715,0,No,0.97,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,1,1,56,1,1,0,1,0,1,1,0,1,96.95,5432.2,0.2727177553846517,0,No,26.44,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,35,1,0,0,0,0,0,0,0,1,19.15,638.0,0.007348276360138688,0,No,0.14,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,0,1,19,1,0,0,0,0,0,0,0,0,20.85,467.5,0.06212992736431074,0,No,1.3,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
1,1,0,72,1,1,0,0,1,0,1,1,1,73.45,5329.0,0.01708381934184231,0,No,1.25,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,56,1,0,1,0,1,1,0,0,1,60.25,3282.75,0.06268787179031665,0,No,3.78,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,71,1,0,0,0,0,0,0,0,0,19.85,1326.35,0.0009457516367316656,0,No,0.02,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
1,0,0,52,0,0,0,1,0,0,1,1,1,49.15,2550.9,0.5350278150678358,0,No,26.3,1,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,5,1,1,0,0,1,0,1,1,1,100.5,514.0,0.9029611531173017,1,Yes,90.75,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,1,1,30,1,0,0,0,0,0,0,0,0,21.25,711.9,0.016338782163937943,0,No,0.35,0,Correct,Two Year,No,Mailed Check,Low Risk,0
0,1,1,29,0,0,1,1,1,1,0,1,1,55.35,1636.95,0.09094893075994827,0,No,5.03,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,43,1,0,0,0,0,0,0,0,0,19.55,876.15,0.01627180918539949,0,No,0.32,0,Correct,Two Year,No,Mailed Check,Low Risk,0
0,1,0,23,1,0,0,0,1,1,0,0,0,54.25,1221.55,0.19211850974215883,0,No,10.42,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
0,0,0,23,1,0,0,0,0,0,0,0,1,20.3,470.6,0.09008451739525546,0,No,1.83,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
0,0,0,60,1,0,1,1,1,0,0,0,0,61.4,3638.25,0.09027447047793467,0,No,5.54,0,Correct,Two Year,Fiber optic,Electronic Check,Low Risk,0
1,0,0,18,1,1,1,1,0,0,0,0,1,58.4,964.9,0.35693582432479654,0,No,20.85,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
1,0,0,1,1,0,0,0,0,0,0,0,0,45.1,45.1,0.8070450077120125,1,Yes,36.4,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,14,1,0,0,1,0,0,0,0,0,51.45,727.85,0.21215799220699477,0,No,10.92,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,32,1,1,0,1,0,0,0,0,1,80.35,2596.15,0.5483399707318213,0,No,44.06,1,Wrong,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,72,1,1,1,1,1,1,1,1,1,89.4,6376.55,0.005072793811342327,0,No,0.45,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
0,1,0,40,1,0,0,1,0,0,0,0,1,50.15,2058.5,0.20792485926061383,0,No,10.43,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
1,1,0,27,1,1,0,1,1,1,1,1,0,83.85,2310.2,0.3188277204966253,0,No,26.73,0,Correct,One Year,Fiber optic,Electronic Check,Low Risk,0
1,0,0,9,1,1,0,0,0,0,0,0,1,74.55,622.9,0.7970481468638296,1,Yes,59.42,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,57,1,0,1,0,1,0,1,1,1,74.35,4317.35,0.020446733790708826,0,No,1.52,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,69,1,1,1,1,0,1,0,0,1,66.9,4577.9,0.033681271416615956,0,No,2.25,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
